DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
(missing DOI),SELF-DIRECTED LEARNING: A META-ANALYTIC REVIEW OF ADULT LEARNING CONSTRUCTS,"Diane R. Edmondson, Stefanie L. Boyer",(missing journal),2012,"This article is a meta-analytic study examining the relationship between self-directed learning and constructs that have received research attention in the education domain including academic performance, future aspiration, creativity, curiosity, and life satisfaction. Meta-analytic results show that self-directed learning is significantly and positively related to academic performance (r = .15, p < .001), future aspiration (r = .13, p < .001), creativity (r = .25, p < .001), curiosity (r = .40, p < .01), and life satisfaction (r = .35, p < .001). These results show that self-directed learning is an important construct and should be implemented into business education. INTRODUCTION Helping students get more out of their learning experience is a number one goal of teaching and training institutions. Therefore, this article seeks to uncover constructs that may improve student learning in marketing education, by examining research on learning effectiveness in the education domain related to adult learning. A prominent construct that emerged out of the adult education literature in the 1960s is self-directed learning. Self-directed learning (SDL) has been a central tenet in the adult education literature since then (Brockett and Hiemstra 1991; Mezirow 1985). In fact, it is the most common form of adult learning (Merriam and Caffarella 1999). However, the concept of selfdirected learning in the marketing education literature has been extremely limited. Self-directed learning has been defined as a process in which learners take the initiative in planning, implementing, and evaluating their own learning needs and outcomes, with or without the help of others (Knowles 1975). One of the key characteristics of self-directed learning is that learners must take some responsibility for their own learning over and above responding to instruction (Boud 1981). Self-directed learning, as a supplement to the traditional learning approach, provides learners with a greater opportunity to reach their own potential (Boyer, Edmondson, and Artis 2011). Therefore by adding self-directed learning to traditional learning approaches (i.e. lecture), educators will be better able to keep students engaged. The purpose of this article is to introduce self-directed learning to the marketing education literature through the completion of a meta-analysis on the existing self-directed learning literature, from multiple disciplines. By understanding what is already known about self-directed learning, marketing educators will have a better understanding of how to enhance marketing courses, professional education and student learning by utilizing self-directed learning approaches in adult student development.",894016,49,34,,"aprendizagem autodirigida, revisao_sistematica"
10.19173/irrodl.v24i4.7291,"Book Review: Blended Learning Environments to Foster Self-Directed Learning, edited by Christo van der Westhuizen, Mncedisi C. Maphalala, and Roxanne Bailey (AOSIS Books, 2022)",Ramiz Ali,International Review of Research in Open and Distance Learning,2023,"Blended Learning Environments to Foster Self-Directed Learning is the eighth book in the Self-Directed Learning Series by North-West University, South Africa. The volume provides strategies and approaches to promote self-directed learning (SDL) in blended learning environments, featuring contributions from authors experienced in active learning strategies in online and blended learning contexts. They emphasise the importance of technology-enhanced learning, particularly blended learning, in improving students’ overall learning experience by promoting SDL. The book, which is licensed for free use, consists of 10 chapters that delve into various pedagogical methods to enhance SDL in blended learning contexts. The target audience for this book is scholars and practitioners who are interested in enhancing SDL, specifically in blended learning environments. The book begins by setting a theoretical foundation for the subsequent chapters. In Chapter 1, van der Westhuizen and Bailey highlight the importance of aligning the person-process-context (PCC) model with the Community of Inquiry (CoI) framework to guide SDL. In this chapter, the authors propose a model for SDL and make a case for combining PCC and CoI to create optimal learning experiences for individuals in blended learning environments. This approach was quite effective in shaping the overall logic of the subsequent chapters. In Chapter 2, Kruger and colleagues offer a literature review to conceptualise inquiry-based, blended, and self-directed learning, and they elucidate the connections between these three learning approaches. Although this chapter is consistent with the book’s overall theme and focus, it places particular emphasis on the affective domain of learning. The authors argue that the affective domain is a shared element among all three learning approaches and could serve as a catalyst for enhancing self-directed",266923260,0,0,,aprendizagem autodirigida
(missing DOI),Self-directed learning in health professions education.,"M. Murad, P. Varkey","Annals of the Academy of Medicine, Singapore",2008,"INTRODUCTION
Self-directed learning has been recommended as a promising methodology for lifelong learning in medicine. However, the concept of self-directed learning continues to be elusive, with students and educators finding difficulty in defining it and agreeing on its worth.


METHODS
In this paper we review the literature of self-directed learning in health professions education and present a framework based on Malcolm Knowles' key components of self-directed learning.


RESULTS
The key components of self-directed learning are: the educator as a facilitator, identification of learning needs, development of learning objectives, identification of appropriate resources, implementation of the process, commitment to a learning contract and evaluation of learning. Several but not all of these components are often described in the published literature.


CONCLUSION
Although the presented framework provides some consistency for educators interested in applying SDL methods, future studies are needed to standardise self-directed learning curricula and to determine the effectiveness of these components on educational outcomes.",20112800,128,68,,"aprendizagem autodirigida, saude"
10.1007/s13312-022-2501-x,The Concept of Self-Directed Learning: Implications for Practice in the Undergraduate Curriculum,"Anshu, P. Gupta, T. Singh",Indian Pediatrics,2022,"Self-directed learning (SDL) is a modality where learners are expected to take responsibility for their own learning, diagnose gaps in their learning, frame their own goals and resources for learning, implement appropriate learning strategies and evaluate learning outcomes. Flexibility and creativity in designing assignments for students to work individually or collaboratively are the keys to promoting SDL. The recent competency-based curriculum document from the National Medical Commission does not elaborate the concept or implementation of SDL, leaving it open to individual interpretation. We, herein, discuss the concept of SDL, address common misconceptions surrounding SDL, and elucidate strategies by which SDL skills can be inculcated in medical students using pre-existing opportunities in the curriculum. Flipped classrooms, reciprocal teaching, technology-enhanced methods, problem-based learning, and group projects are excellent ways of promoting SDL. SDL requires efforts and policies both at the teachers’ level and at the institutional level; and is an important input to achieve the goal of being a lifelong learner by the Indian medical graduate.",12239049,15,34,,"Aprendiz_Universitario, aprendizagem autodirigida"
10.5688/ajpe847512,Developing Self-Directed Learners,"Jennifer D. Robinson, A. Persky",American Journal of Pharmaceutical Education,2020,"Objective. To discuss the meaning of self-directed learning, challenges with implementation, and strategies to overcome obstacles in educational settings. In this paper we define self-directed learning, differentiate it from similar terminology, and discuss the empirical evidence for its development and strategies for its use within higher education. Summary. Self-directed learning as a defined teaching pedagogy has been around since the 1960s and can be used in classroom and experiential settings. It is a term that is commonly used to describe a set of skills that college graduates should possess. A self-directed learning environment is dramatically different from a lecture-based classroom where the educator determines the goals, the assessments administered, and pacing of the course content. During the self-directed learning process, the learner sets goals, determines how progress will be assessed, defines the structure and sequence of activities and a timeline, identifies resources, and seeks out feedback. When teaching individuals who are new to this model, care must be taken to appropriately scaffold and structure learning to develop the underlying soft skills needed for students to be successful as self-directed learners. When implementing this pedagogy in a classroom setting, challenges are faced both by the learner and the educator. Faculty members should proactively plan for potential challenges during the course design process.",202737822,104,32,,"aprendizagem autodirigida, referencial teorico"
10.30935/ejimed/11439,Rethinking Pedagogy: Interrogating Ways of Promoting Deeper Learning in Higher Education,"Talent T. Rugube, Khetsiwe Mthethwa-Kunene, C. Maphosa",European Journal of Interactive Multimedia and Education,2021,"Teaching and learning in higher education should shift from surface learning to deeper learning. Deeper learning provides opportunities for students to achieve high learning outcomes. However, there is a dearth of information on the utilization of deeper learning in higher education. Deeper learning demands educators to employ pedagogy that enhances the acquisition of higher-order skills. Through deeper learning, students develop critical skills that are necessary for the twenty-first century. Such skills enable the students to succeed in their careers and social life. In this paper, the authors explore deeper learning for enhancing teaching and learning in higher education. In particular, unpacking the competencies of deeper learning. The paper focuses on promoting problem-solving, content knowledge, critical thinking, communication, and collaboration, contextualising learning, learning how to learn, transferring of knowledge and skills, the utilisation of digital technology supporting students to become lifelong learners, as well as deeper learning and the 21st-century skills. To collect data, a desktop review of deeper learning competencies was done. In conclusion, the paper proposes the most appropriate strategies for promoting deeper learning for the attainment of 21st-century skills.",151038651,4,40,,Aprendiz_Universitario
(missing DOI),Andragogy and Self-Directed Learning: Pillars of Adult Learning Theory,Iluminada Ong,(missing journal),2009,"The central question of how adults learn has occupied the attention of scholars and practitioners since the founding of adult education as a professional field of practice in the 1920s. Some eighty years later, we have no single answer, no one theory or model of adult learning that explains all that we know about adult learners, the various contexts where learning takes place, and the process of learning itself.  What we do have is a mosaic of theories, models, set of principles, and explanations that, combined, compose the knowledge base of adult learning. The purpose of this paper is to revisit two of the foundational theories of adult learning with an eye to assessing their â€œstaying powerâ€  as important components of our present-day understanding of adult learning.",223435072,24,0,,"Andragogia, aprendizagem autodirigida"
(missing DOI),Using technology to encourage self-directed learning: The Collaborative Lecture Annotation System (CLAS),"Shane Dawson, Leah P. Macfadyen, FR Evan, Tom Foulsham, Alan Kingstone",(missing journal),2012,"The rapidly-developing 21st century world of work and knowledge calls for self-directed lifelong (SDL) learners. While higher education must embrace the types of pedagogies that foster SDL skills in graduates, the pace of change in education can be glacial. This paper describes a social annotation technology, the Collaborative Lecture Annotation System (CLAS), that can be used to leverage existing teaching and learning practices for acquisition of 21st Century SDL skills. CLAS was designed to build upon the artifacts of traditional didactic modes of teaching, create enriched opportunities for student engagement with peers and learning materials, and offer learners greater control and ownership of their individual learning strategies. Adoption of CLAS creates educational experiences that promote and foster SDL skills: motivation, self-management and self-monitoring. In addition, CLAS incorporates a suite of learning analytics for learners to evaluate their progress, and allow instructors to monitor the development of SDL skills and identify the need for learning support and guidance. CLAS stands as an example of a simple tool that can bridge the gap between traditional transmissive pedagogy and the creation of authentic and collaborative learning spaces.",67969006,31,41,,
(missing DOI),Self-directed learning : a guide for learners and teachers / Malcom S. Knowles,M. Knowles,(missing journal),1975,(missing abstract),276738521,540,0,,"Andragogia, aprendizagem autodirigida"
(missing DOI),"Self-direction in Adult Learning: Perspectives on Theory, Research and Practice","Ralph G. Brockett, Roger Hiemstra",(missing journal),1991,"A self-directed learner is one who takes sole responsibility for his or her own learning. The idea is not a new one but has recently received renewed attention in education circles and has particular significance for the adult education sector. Self-direction represents a significant shift from traditional academic planning. It emphasizes autonomy and personal development and is now considered an important component of courses, not just in independent study or for external degrees, but in, for example, literacy training, continuing professional training, or computer and video technology. Self-Direction in Adult Learning provides the reader, whether academic or professional, with a comprehensive synthesis of developments, issues and practices related to self-direction and learning. Suggesting that self-direction should be considered as a way of life, it presents strategies for facilitating self-directed learning as an instructional method and for enhancing learner self-direction as an aspect of adult personality. Together with an analysis of current research trends, the book has chapters on major issues for practice, including institutional perspectives of self-direction, and policy issues.",219166134,436,0,,aprendizagem autodirigida
