DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
(missing DOI),Exploratory Study of the Relationship between Self-Directed Learning and Academic Performance in a Web-Based Learning Environment,"Pao-Nan Chou, Wei-Fan Chen",Online Journal of Distance Learning Administration,2008,"Through literature review, this paper examines six empirical studies. Three cases are from the United States and the other three are from studies conducted in Asian. The purpose of this study is to identify whether or not self-directed learning is a key factor leading to successful academic performance in webbased learning environments. The in-depth analysis and discussion of each study finds that the effect of self-directed learning on academic success in web-based environments is divergent among six case studies. Follow-up studies should exclude potential problems identified in this paper.",88150192,55,29,,
(missing DOI),A Conceptual Model for Understanding Self-Directed Learning in Online Environments.,"Liyan Song, Janette R. Hill",Journal of Interactive Online Learning,2007,"Research indicates that online learning often situates control of implementation with the learner. Recently, scholars have turned attention to the importance of self-directed learning (SDL) skills for online learning environments. Existing frameworks for understanding SDL focus primarily on process and personal attributes in face-to-face settings. Some frameworks depict SDL as a process, focusing on learner autonomy in the learning processes; other frameworks emphasize personal attributes, focusing on learner’s capabilities of regulating the learning process. Yet, the level of self-direction needed may change in different contexts. The purpose of this paper is to introduce a research-based framework for understanding SDL in online learning contexts. Implications for future research and practice are provided at the end of the paper.",261532317,426,33,,
10.24297/jssr.v3i2.3207,The Antecedents toward Self-Directed Learning among Distance Learner in Malaysian Public Universities,"Nursyamilah Annuar, R. Shaari",(missing journal),2014,"This paper reviews the underpinning theories and past literature on self-directed learning in relation to self-efficacy by distance learner in higher learning institutions. There is little research available that systematically traces the extent to which individual and external factors play a role in level of self-directed learning ability. Subsequently, a number of hypotheses and a framework of self-directed learning are proposed. There are four hypotheses proposes which are there is a positive significant effect of motivation of self-directed learning; there is a significant positive effect of life satisfaction with self-directed learning; there is a mediate effect of self-efficacy which is significant and positive between motivation with self-directed learning; and there is a mediate effect of self-efficacy which is a significant and positive between life satisfaction and self-directed learning. The paper proposes that the students self-directed learning is influenced by or have relationship with students motivation and life satisfaction.",73907420,7,73,,
(missing DOI),SELF-DIRECTED LEARNING: A META-ANALYTIC REVIEW OF ADULT LEARNING CONSTRUCTS,"Diane R. Edmondson, Stefanie L. Boyer",(missing journal),2012,"This article is a meta-analytic study examining the relationship between self-directed learning and constructs that have received research attention in the education domain including academic performance, future aspiration, creativity, curiosity, and life satisfaction. Meta-analytic results show that self-directed learning is significantly and positively related to academic performance (r = .15, p < .001), future aspiration (r = .13, p < .001), creativity (r = .25, p < .001), curiosity (r = .40, p < .01), and life satisfaction (r = .35, p < .001). These results show that self-directed learning is an important construct and should be implemented into business education. INTRODUCTION Helping students get more out of their learning experience is a number one goal of teaching and training institutions. Therefore, this article seeks to uncover constructs that may improve student learning in marketing education, by examining research on learning effectiveness in the education domain related to adult learning. A prominent construct that emerged out of the adult education literature in the 1960s is self-directed learning. Self-directed learning (SDL) has been a central tenet in the adult education literature since then (Brockett and Hiemstra 1991; Mezirow 1985). In fact, it is the most common form of adult learning (Merriam and Caffarella 1999). However, the concept of selfdirected learning in the marketing education literature has been extremely limited. Self-directed learning has been defined as a process in which learners take the initiative in planning, implementing, and evaluating their own learning needs and outcomes, with or without the help of others (Knowles 1975). One of the key characteristics of self-directed learning is that learners must take some responsibility for their own learning over and above responding to instruction (Boud 1981). Self-directed learning, as a supplement to the traditional learning approach, provides learners with a greater opportunity to reach their own potential (Boyer, Edmondson, and Artis 2011). Therefore by adding self-directed learning to traditional learning approaches (i.e. lecture), educators will be better able to keep students engaged. The purpose of this article is to introduce self-directed learning to the marketing education literature through the completion of a meta-analysis on the existing self-directed learning literature, from multiple disciplines. By understanding what is already known about self-directed learning, marketing educators will have a better understanding of how to enhance marketing courses, professional education and student learning by utilizing self-directed learning approaches in adult student development.",88869286,49,33,,
10.19173/irrodl.v24i4.7291,"Book Review: Blended Learning Environments to Foster Self-Directed Learning, edited by Christo van der Westhuizen, Mncedisi C. Maphalala, and Roxanne Bailey (AOSIS Books, 2022)",Ramiz Ali,International Review of Research in Open and Distance Learning,2023,"Blended Learning Environments to Foster Self-Directed Learning is the eighth book in the Self-Directed Learning Series by North-West University, South Africa. The volume provides strategies and approaches to promote self-directed learning (SDL) in blended learning environments, featuring contributions from authors experienced in active learning strategies in online and blended learning contexts. They emphasise the importance of technology-enhanced learning, particularly blended learning, in improving students’ overall learning experience by promoting SDL. The book, which is licensed for free use, consists of 10 chapters that delve into various pedagogical methods to enhance SDL in blended learning contexts. The target audience for this book is scholars and practitioners who are interested in enhancing SDL, specifically in blended learning environments. The book begins by setting a theoretical foundation for the subsequent chapters. In Chapter 1, van der Westhuizen and Bailey highlight the importance of aligning the person-process-context (PCC) model with the Community of Inquiry (CoI) framework to guide SDL. In this chapter, the authors propose a model for SDL and make a case for combining PCC and CoI to create optimal learning experiences for individuals in blended learning environments. This approach was quite effective in shaping the overall logic of the subsequent chapters. In Chapter 2, Kruger and colleagues offer a literature review to conceptualise inquiry-based, blended, and self-directed learning, and they elucidate the connections between these three learning approaches. Although this chapter is consistent with the book’s overall theme and focus, it places particular emphasis on the affective domain of learning. The authors argue that the affective domain is a shared element among all three learning approaches and could serve as a catalyst for enhancing self-directed",266923260,0,0,,
(missing DOI),Self-directed learning in health professions education.,"M. Murad, P. Varkey","Annals of the Academy of Medicine, Singapore",2008,"INTRODUCTION
Self-directed learning has been recommended as a promising methodology for lifelong learning in medicine. However, the concept of self-directed learning continues to be elusive, with students and educators finding difficulty in defining it and agreeing on its worth.


METHODS
In this paper we review the literature of self-directed learning in health professions education and present a framework based on Malcolm Knowles' key components of self-directed learning.


RESULTS
The key components of self-directed learning are: the educator as a facilitator, identification of learning needs, development of learning objectives, identification of appropriate resources, implementation of the process, commitment to a learning contract and evaluation of learning. Several but not all of these components are often described in the published literature.


CONCLUSION
Although the presented framework provides some consistency for educators interested in applying SDL methods, future studies are needed to standardise self-directed learning curricula and to determine the effectiveness of these components on educational outcomes.",20112800,128,68,,
10.1007/s13312-022-2501-x,The Concept of Self-Directed Learning: Implications for Practice in the Undergraduate Curriculum,"Anshu, P. Gupta, T. Singh",Indian Pediatrics,2022,"Self-directed learning (SDL) is a modality where learners are expected to take responsibility for their own learning, diagnose gaps in their learning, frame their own goals and resources for learning, implement appropriate learning strategies and evaluate learning outcomes. Flexibility and creativity in designing assignments for students to work individually or collaboratively are the keys to promoting SDL. The recent competency-based curriculum document from the National Medical Commission does not elaborate the concept or implementation of SDL, leaving it open to individual interpretation. We, herein, discuss the concept of SDL, address common misconceptions surrounding SDL, and elucidate strategies by which SDL skills can be inculcated in medical students using pre-existing opportunities in the curriculum. Flipped classrooms, reciprocal teaching, technology-enhanced methods, problem-based learning, and group projects are excellent ways of promoting SDL. SDL requires efforts and policies both at the teachers’ level and at the institutional level; and is an important input to achieve the goal of being a lifelong learner by the Indian medical graduate.",12239049,15,34,,
10.5688/ajpe847512,Developing Self-Directed Learners,"Jennifer D. Robinson, A. Persky",American Journal of Pharmaceutical Education,2020,"Objective. To discuss the meaning of self-directed learning, challenges with implementation, and strategies to overcome obstacles in educational settings. In this paper we define self-directed learning, differentiate it from similar terminology, and discuss the empirical evidence for its development and strategies for its use within higher education. Summary. Self-directed learning as a defined teaching pedagogy has been around since the 1960s and can be used in classroom and experiential settings. It is a term that is commonly used to describe a set of skills that college graduates should possess. A self-directed learning environment is dramatically different from a lecture-based classroom where the educator determines the goals, the assessments administered, and pacing of the course content. During the self-directed learning process, the learner sets goals, determines how progress will be assessed, defines the structure and sequence of activities and a timeline, identifies resources, and seeks out feedback. When teaching individuals who are new to this model, care must be taken to appropriately scaffold and structure learning to develop the underlying soft skills needed for students to be successful as self-directed learners. When implementing this pedagogy in a classroom setting, challenges are faced both by the learner and the educator. Faculty members should proactively plan for potential challenges during the course design process.",202737822,104,32,,
10.1080/02680513.2022.2141105,Guidelines and strategies for fostering and enhancing self-directed online learning,"Meina Zhu, Curtis J. Bonk, Meina Zhu, Curtis J. Bonk","Open Learning: The Journal of Open, Distance and e-Learning",2022,"he aim of this article is to provide practical instructional design strategies to foster and enhance learners’ online self-directed learning skills and abilities; especially when accessing massive open online courses (MOOCs) and other forms of open educational resources and OpenCourseWare (OCW). In addition to attempting to understand self-directed online learning, a series of studies was conducted to explore how to motivate learners and enhance students’ self-management and self-monitoring skills in MOOCs. This article offers 15 practical guidelines for fostering learners’ self-directed online learning (SDOL) based on the authors’ past research, including extensive literature reviews, surveys, dozens of MOOC instructor and learner interviews, and many course content analyses. Detailed explanations and examples are provided to help readers understand each of the 15 individual strategies. It is hoped that these instructional design guidelines will be adopted by instructional designers of MOOCs as well as practitioners in their MOOC teaching practices.",251119782,11,40,,
10.30935/ejimed/11439,Rethinking Pedagogy: Interrogating Ways of Promoting Deeper Learning in Higher Education,"Talent T. Rugube, Khetsiwe Mthethwa-Kunene, C. Maphosa",European Journal of Interactive Multimedia and Education,2021,"Teaching and learning in higher education should shift from surface learning to deeper learning. Deeper learning provides opportunities for students to achieve high learning outcomes. However, there is a dearth of information on the utilization of deeper learning in higher education. Deeper learning demands educators to employ pedagogy that enhances the acquisition of higher-order skills. Through deeper learning, students develop critical skills that are necessary for the twenty-first century. Such skills enable the students to succeed in their careers and social life. In this paper, the authors explore deeper learning for enhancing teaching and learning in higher education. In particular, unpacking the competencies of deeper learning. The paper focuses on promoting problem-solving, content knowledge, critical thinking, communication, and collaboration, contextualising learning, learning how to learn, transferring of knowledge and skills, the utilisation of digital technology supporting students to become lifelong learners, as well as deeper learning and the 21st-century skills. To collect data, a desktop review of deeper learning competencies was done. In conclusion, the paper proposes the most appropriate strategies for promoting deeper learning for the attainment of 21st-century skills.",151038651,4,40,,
